SEQ,PLANNED_IN_DT,PLANNED_OUT_DT,SCOPEINLOCATION,SCOPEOUTLOCATION,EXTERNALCODE,CODE,IE,PORT_FROM,VOYELM_TOTALTEU,VOYELM_TOTALWEIGHT,VOYELM_MAXTEU,TOTAL20,TOTAL30,TOTAL40,UNITEXP_VOYAGE_EXP
38321,2026-02-10 17:00:00+00:00,2026-02-11 12:00:00+00:00,BRIENENOORDBRUG,HEINENOORDTUNNEL,38321.0,"AMI0227,AMI0228","E,I","OSS,ROTTE",627.0,5363545.0,208.0,22.0,0.0,190.0,1
38340,2026-02-08 13:00:00+00:00,2026-02-09 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38340.0,"VIC2717,VIC2718","E,I","ROTTE,VEGHE",0.0,0.0,104.0,25.0,0.0,77.0,6
38360,2026-02-10 09:00:00+00:00,2026-02-11 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38360.0,"ALL0040,ALL0041","E,I","ROTTE,VEGHE",60.0,116500.0,90.0,,,,4
38361,2026-02-09 19:00:00+00:00,2026-02-10 14:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38361.0,"ALF1972,ALF1973","E,I","ROTTE,VEGHE",0.0,0.0,90.0,0.0,0.0,52.0,0
38380,2026-02-11 08:00:00+00:00,2026-02-12 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38380.0,"MEY0162,MEY0163","E,I","KAT,ROTTE",201.25,1593439.0,156.0,20.0,0.0,51.0,5
38401,2026-02-09 10:00:00+00:00,2026-02-10 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38401.0,"DEC0076,DEC0077","E,I","ROTTE,VEGHE",146.0,1363724.0,81.0,89.0,0.0,29.0,1
38421,2026-02-10 17:00:00+00:00,2026-02-11 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38421.0,"VIC2719,VIC2720","E,I","ROTTE,VEGHE",72.0,476246.0,108.0,20.0,0.0,79.0,2
38440,2026-02-14 08:00:00+00:00,2026-02-14 15:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38440.0,"AMI0229,AMI0230","E,I","KAT,ROTTE",409.0,3527570.0,208.0,22.0,0.0,131.0,41
38441,2026-02-10 11:00:00+00:00,2026-02-11 14:00:00+00:00,BRIENENOORDBRUG,HEINENOORDTUNNEL,38441.0,"LRD0218,LRD0219","E,I","OSS,ROTTE",168.0,1768422.0,105.0,16.0,0.0,67.0,4
38460,2026-02-11 17:00:00+00:00,2026-02-12 13:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38460.0,"ALF1974,ALF1975","E,I","ROTTE,VEGHE",0.0,0.0,90.0,13.0,0.0,81.0,7
